Label,Artist,Id,Track,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Genre
For What It's Worth,Buffalo Springfield,39,For What It's Worth Buffalo Springfield,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,blues rock
(Don't Fear) The Reaper,Blue Oyster Cult,40,(Don't Fear) The Reaper Blue Oyster Cult,0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,album rock
American Idiot,Green Day,41,American Idiot Green Day,0.38,0.988,-2.042,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346,permanent wave
Are You Gonna Be My Girl,Jet,42,Are You Gonna Be My Girl Jet,0.613,0.953,-3.435,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,alternative rock
Baba O'Riley,The Who,43,Baba O'Riley The Who,0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,300400,album rock
Best Of You,Foo Fighters,44,Best Of You Foo Fighters,0.366,0.94,-5.119,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,255627,alternative metal
Born in the U.S.A.,Bruce Springsteen,45,Born in the U.S.A. Bruce Springsteen,0.398,0.952,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680,classic rock
Chop Suey!,System Of A Down,46,Chop Suey! System Of A Down,0.417,0.934,-3.908,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,alternative metal
Clint Eastwood,Gorillaz,47,Clint Eastwood Gorillaz,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,340920,alternative hip hop
Closer,Nine Inch Nails,48,Closer Nine Inch Nails,0.547,0.714,-8.628,0.044,0.000242,0.636,0.122,0.541,89.996,373000,alternative metal
Come As You Are,Nirvana,49,Come As You Are Nirvana,0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920,alternative rock
Could You Be Loved,Bob Marley & The Wailers,50,Could You Be Loved Bob Marley & The Wailers,0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.76,103.312,237000,reggae
